Pause Before,Size,Left Span,Right Span,Weight,RL Ratio,WS Ratio
483,1,1,1,1,1.0,1.0
531,2,2,1,1,0.5,0.5
718,3,1,3,1,3.0,0.3333333333333333
374,4,2,3,2,1.5,0.5
1638,2,1,2,1,2.0,0.5
78,2,2,2,2,1.0,1.0
499,3,3,2,2,0.6666666666666666,0.6666666666666666
2793,2,2,2,2,1.0,1.0
531,3,3,2,2,0.6666666666666666,0.6666666666666666
546,2,2,2,2,1.0,1.0
218,3,3,2,2,0.6666666666666666,0.6666666666666666
110,4,4,2,2,0.5,0.5
577,2,2,2,2,1.0,1.0
9376,1,1,1,1,1.0,1.0
748,1,1,1,1,1.0,1.0
140,2,2,1,1,0.5,0.5
936,3,3,1,1,0.3333333333333333,0.3333333333333333
343,4,4,1,1,0.25,0.25
9141,1,1,1,1,1.0,1.0
2277,2,2,1,1,0.5,0.5
577,3,3,1,1,0.3333333333333333,0.3333333333333333
234,2,1,2,1,2.0,0.5
218,3,2,2,2,1.0,0.6666666666666666
188,4,3,2,2,0.6666666666666666,0.5
358,3,2,3,2,1.5,0.6666666666666666
218,5,3,4,3,1.3333333333333333,0.6
265,4,3,3,3,1.0,0.75
421,4,3,4,3,1.3333333333333333,0.75
702,5,4,4,4,1.0,0.7999999999999999
889,6,5,4,4,0.7999999999999999,0.6666666666666666
7690,3,3,3,3,1.0,1.0
2293,4,4,3,3,0.75,0.75
141,4,3,4,3,1.3333333333333333,0.75
156,5,4,4,4,1.0,0.7999999999999999
436,6,5,4,4,0.7999999999999999,0.6666666666666666
218,7,6,4,4,0.6666666666666666,0.5714285714285714
141,3,3,3,3,1.0,1.0
1077,4,4,3,3,0.75,0.75
50373,3,3,3,3,1.0,1.0
218,2,2,2,2,1.0,1.0
437,3,3,2,2,0.6666666666666666,0.6666666666666666
1341,4,4,2,2,0.5,0.5
328,5,5,2,2,0.39999999999999997,0.39999999999999997
406,6,6,2,2,0.3333333333333333,0.3333333333333333
748,6,2,6,2,3.0,0.3333333333333333
218,5,2,5,2,2.5,0.39999999999999997
1092,6,3,5,3,1.6666666666666665,0.5
422,7,4,5,3,1.25,0.42857142857142855
531,4,2,4,2,2.0,0.5
609,5,3,4,3,1.3333333333333333,0.6
140,3,2,3,2,1.5,0.6666666666666666
8580,4,3,3,3,1.0,0.75
1888,3,3,3,3,1.0,1.0
546,2,2,2,2,1.0,1.0
1934,3,3,2,2,0.6666666666666666,0.6666666666666666
187,4,4,2,2,0.5,0.5
172,5,5,2,2,0.39999999999999997,0.39999999999999997
234,6,6,2,2,0.3333333333333333,0.3333333333333333
249,4,2,4,2,2.0,0.5
717,3,2,3,2,1.5,0.6666666666666666
187,4,3,3,3,1.0,0.75
109,5,4,3,3,0.75,0.6
234,2,2,2,2,1.0,1.0
406,3,3,2,2,0.6666666666666666,0.6666666666666666
172,4,4,2,2,0.5,0.5
405,5,5,2,2,0.39999999999999997,0.39999999999999997
842,2,2,2,2,1.0,1.0
2901,3,3,2,2,0.6666666666666666,0.6666666666666666
26239,2,2,2,2,1.0,1.0
499,1,1,1,1,1.0,1.0
406,1,1,1,1,1.0,1.0
281,2,2,1,1,0.5,0.5
530,3,3,1,1,0.3333333333333333,0.3333333333333333
281,1,1,1,1,1.0,1.0
234,2,2,1,1,0.5,0.5
312,2,1,2,1,2.0,0.5
203,3,2,2,2,1.0,0.6666666666666666
5538,4,3,2,2,0.6666666666666666,0.5
218,5,4,2,2,0.5,0.39999999999999997
62,6,5,2,2,0.39999999999999997,0.3333333333333333
10748,2,2,2,2,1.0,1.0
452,3,3,3,3,1.0,1.0
889,3,3,2,2,0.6666666666666666,0.6666666666666666
141,4,4,2,2,0.5,0.5
265,5,5,2,2,0.39999999999999997,0.39999999999999997
156,6,6,2,2,0.3333333333333333,0.3333333333333333
203,2,2,2,2,1.0,1.0
17332,2,2,2,2,1.0,1.0
905,3,3,2,2,0.6666666666666666,0.6666666666666666
1045,1,1,1,1,1.0,1.0
218,1,1,1,1,1.0,1.0
546,2,2,1,1,0.5,0.5
234,3,3,2,2,0.6666666666666666,0.6666666666666666
187,4,4,2,2,0.5,0.5
187,5,5,2,2,0.39999999999999997,0.39999999999999997
250,4,3,2,2,0.6666666666666666,0.5
296,5,4,2,2,0.5,0.39999999999999997
280,6,5,2,2,0.39999999999999997,0.3333333333333333
156,3,3,1,1,0.3333333333333333,0.3333333333333333
436,4,4,1,1,0.25,0.25
406,4,1,4,1,4.0,0.25
2278,5,2,4,2,2.0,0.39999999999999997
141,6,3,4,2,1.3333333333333333,0.3333333333333333
546,3,1,3,1,3.0,0.3333333333333333
218,3,2,3,2,1.5,0.6666666666666666
140,4,3,3,2,1.0,0.5
530,2,1,2,1,2.0,0.5
172,3,2,2,2,1.0,0.6666666666666666
967,2,2,2,2,1.0,1.0
219,3,3,2,2,0.6666666666666666,0.6666666666666666
390,4,4,3,3,0.75,0.75
249,4,4,2,2,0.5,0.5
812,5,5,3,3,0.6,0.6
390,6,5,3,3,0.6,0.5
281,7,6,3,3,0.5,0.42857142857142855
202,6,6,3,3,0.5,0.5
406,7,7,3,3,0.42857142857142855,0.42857142857142855
327,8,8,3,3,0.375,0.375
2933,5,5,2,2,0.39999999999999997,0.39999999999999997
13369,6,6,2,2,0.3333333333333333,0.3333333333333333
437,2,2,2,2,1.0,1.0
312,3,3,2,2,0.6666666666666666,0.6666666666666666
904,1,1,1,1,1.0,1.0
281,1,1,1,1,1.0,1.0
4321,3,2,2,2,1.0,0.6666666666666666
421,4,3,2,2,0.6666666666666666,0.5
234,3,3,2,2,0.6666666666666666,0.6666666666666666
172,4,4,2,2,0.5,0.5
343,5,5,2,2,0.39999999999999997,0.39999999999999997
468,3,3,2,2,0.6666666666666666,0.6666666666666666
608,4,4,2,2,0.5,0.5
609,5,5,2,2,0.39999999999999997,0.39999999999999997
218,2,2,1,1,0.5,0.5
359,3,3,1,1,0.3333333333333333,0.3333333333333333
796,4,1,4,1,4.0,0.25
2528,5,2,5,2,2.5,0.39999999999999997
156,6,3,5,3,1.6666666666666665,0.5
531,7,4,5,3,1.25,0.42857142857142855
328,4,2,4,2,2.0,0.5
592,5,3,4,2,1.3333333333333333,0.39999999999999997
967,6,4,4,2,1.0,0.3333333333333333
421,7,5,4,2,0.7999999999999999,0.2857142857142857
343,4,2,4,2,2.0,0.5
203,5,3,4,2,1.3333333333333333,0.39999999999999997
203,6,4,4,2,1.0,0.3333333333333333
156,3,1,3,1,3.0,0.3333333333333333
500,4,2,3,2,1.5,0.5
234,3,2,3,2,1.5,0.6666666666666666
484,4,3,3,2,1.0,0.5
390,5,4,3,2,0.75,0.39999999999999997
437,2,1,2,1,2.0,0.5
8736,1,1,1,1,1.0,1.0
1825,1,1,1,1,1.0,1.0
812,4,1,4,1,4.0,0.25
4071,5,2,4,2,2.0,0.39999999999999997
28283,4,2,4,2,2.0,0.5
546,3,1,3,1,3.0,0.3333333333333333
18782,4,2,3,2,1.5,0.5
1154,3,2,3,2,1.5,0.6666666666666666
3744,4,3,3,2,1.0,0.5
1529,5,4,3,2,0.75,0.39999999999999997
655,2,1,2,1,2.0,0.5
5554,3,2,2,2,1.0,0.6666666666666666
1857,4,3,2,2,0.6666666666666666,0.5
1216,3,2,3,2,1.5,0.6666666666666666
5476,4,3,3,3,1.0,0.75
2574,5,4,3,3,0.75,0.6
1155,2,2,2,2,1.0,1.0
1809,3,3,3,3,1.0,1.0
2590,4,4,4,4,1.0,1.0
5710,4,4,3,3,0.75,0.75
1653,5,5,4,4,0.7999999999999999,0.7999999999999999
530,6,6,4,4,0.6666666666666666,0.6666666666666666
1685,7,7,4,4,0.5714285714285714,0.5714285714285714
2059,8,8,4,4,0.5,0.5
2574,5,5,3,3,0.6,0.6
5569,3,3,2,2,0.6666666666666666,0.6666666666666666
437,4,4,2,2,0.5,0.5
12496,5,5,2,2,0.39999999999999997,0.39999999999999997
1887,6,6,2,2,0.3333333333333333,0.3333333333333333
6677,2,2,2,2,1.0,1.0
7644,3,3,2,2,0.6666666666666666,0.6666666666666666
2402,3,2,3,2,1.5,0.6666666666666666
999,4,3,3,3,1.0,0.75
2824,5,4,3,3,0.75,0.6
2496,3,3,3,3,1.0,1.0
1965,2,2,2,2,1.0,1.0
2153,3,3,2,2,0.6666666666666666,0.6666666666666666
982,4,4,2,2,0.5,0.5
2090,5,5,2,2,0.39999999999999997,0.39999999999999997
2652,2,2,2,2,1.0,1.0
5460,3,3,2,2,0.6666666666666666,0.6666666666666666
2277,1,1,1,1,1.0,1.0
1966,2,1,2,1,2.0,0.5
4087,1,1,1,1,1.0,1.0
4228,2,2,1,1,0.5,0.5
2745,3,3,1,1,0.3333333333333333,0.3333333333333333
7457,4,4,1,1,0.25,0.25
2558,1,1,1,1,1.0,1.0
2574,2,2,1,1,0.5,0.5
5678,3,3,1,1,0.3333333333333333,0.3333333333333333
3806,1,1,1,1,1.0,1.0
9875,2,1,2,1,2.0,0.5
1825,3,2,2,2,1.0,0.6666666666666666
1794,4,3,2,2,0.6666666666666666,0.5
2652,5,4,2,2,0.5,0.39999999999999997
1544,6,5,2,2,0.39999999999999997,0.3333333333333333
1154,1,1,1,1,1.0,1.0
22184,1,1,1,1,1.0,1.0
1950,2,2,1,1,0.5,0.5
10577,3,3,2,2,0.6666666666666666,0.6666666666666666
905,3,3,1,1,0.3333333333333333,0.3333333333333333
4227,1,1,1,1,1.0,1.0
1919,2,2,1,1,0.5,0.5
7488,2,1,2,1,2.0,0.5
624,3,2,2,2,1.0,0.6666666666666666
15616,4,3,2,2,0.6666666666666666,0.5
780,2,2,2,2,1.0,1.0
686,3,3,2,2,0.6666666666666666,0.6666666666666666
952,4,4,2,2,0.5,0.5
16287,2,2,2,2,1.0,1.0
4649,3,3,2,2,0.6666666666666666,0.6666666666666666
2060,1,1,1,1,1.0,1.0
4072,1,1,1,1,1.0,1.0
2340,2,1,2,1,2.0,0.5
3463,3,2,2,2,1.0,0.6666666666666666
3868,3,2,3,2,1.5,0.6666666666666666
3292,3,3,3,3,1.0,1.0
2184,4,4,3,3,0.75,0.75
842,2,2,2,2,1.0,1.0
2480,3,3,2,2,0.6666666666666666,0.6666666666666666
811,2,2,2,2,1.0,1.0
11092,3,3,2,2,0.6666666666666666,0.6666666666666666
2870,4,4,2,2,0.5,0.5
639,1,1,1,1,1.0,1.0
1872,1,1,1,1,1.0,1.0
14929,4,1,4,1,4.0,0.25
1825,3,1,3,1,3.0,0.3333333333333333
5273,4,2,3,2,1.5,0.5
8003,2,1,2,1,2.0,0.5
5897,3,2,2,2,1.0,0.6666666666666666
13166,4,3,2,2,0.6666666666666666,0.5
1545,1,1,1,1,1.0,1.0
2761,1,1,1,1,1.0,1.0
4072,2,1,2,1,2.0,0.5
5960,3,2,3,2,1.5,0.6666666666666666
3400,3,3,3,3,1.0,1.0
1467,2,2,2,2,1.0,1.0
2637,3,3,2,2,0.6666666666666666,0.6666666666666666
1982,2,2,2,2,1.0,1.0
1919,3,3,2,2,0.6666666666666666,0.6666666666666666
2917,4,4,2,2,0.5,0.5
1825,5,5,2,2,0.39999999999999997,0.39999999999999997
1233,1,1,1,1,1.0,1.0
405,1,1,1,1,1.0,1.0
780,2,1,2,1,2.0,0.5
3713,3,2,2,2,1.0,0.6666666666666666
1528,2,2,2,2,1.0,1.0
1061,3,3,2,2,0.6666666666666666,0.6666666666666666
1529,4,4,2,2,0.5,0.5
1545,1,1,1,1,1.0,1.0
640,1,1,1,1,1.0,1.0
359,2,2,1,1,0.5,0.5
578,2,1,2,1,2.0,0.5
21856,3,2,2,2,1.0,0.6666666666666666
468,2,2,2,2,1.0,1.0
1014,3,3,2,2,0.6666666666666666,0.6666666666666666
795,2,2,2,2,1.0,1.0
1529,3,3,2,2,0.6666666666666666,0.6666666666666666
4056,1,1,1,1,1.0,1.0
811,1,1,1,1,1.0,1.0
500,2,2,1,1,0.5,0.5
375,4,1,4,1,4.0,0.25
593,5,2,4,2,2.0,0.39999999999999997
484,3,1,3,1,3.0,0.3333333333333333
172,4,2,3,2,1.5,0.5
530,3,2,3,2,1.5,0.6666666666666666
249,4,3,3,2,1.0,0.5
531,5,4,3,2,0.75,0.39999999999999997
421,2,1,2,1,2.0,0.5
406,3,2,2,2,1.0,0.6666666666666666
4353,4,3,2,2,0.6666666666666666,0.5
577,2,2,2,2,1.0,1.0
1887,3,3,2,2,0.6666666666666666,0.6666666666666666
967,2,2,2,2,1.0,1.0
1904,1,1,1,1,1.0,1.0
842,1,1,1,1,1.0,1.0
421,2,2,1,1,0.5,0.5
718,2,1,2,1,2.0,0.5
437,3,2,2,2,1.0,0.6666666666666666
717,4,3,2,2,0.6666666666666666,0.5
2262,1,1,1,1,1.0,1.0
499,2,2,1,1,0.5,0.5
8861,2,1,2,1,2.0,0.5
3650,3,2,2,2,1.0,0.6666666666666666
3370,3,2,3,2,1.5,0.6666666666666666
1497,2,2,2,2,1.0,1.0
639,3,3,2,2,0.6666666666666666,0.6666666666666666
1108,4,4,2,2,0.5,0.5
499,1,1,1,1,1.0,1.0
234,2,2,1,1,0.5,0.5
1373,3,3,1,1,0.3333333333333333,0.3333333333333333
1529,4,4,1,1,0.25,0.25
8923,2,1,2,1,2.0,0.5
967,1,1,1,1,1.0,1.0
3416,2,2,1,1,0.5,0.5
2543,3,3,1,1,0.3333333333333333,0.3333333333333333
983,1,1,1,1,1.0,1.0
1981,2,2,1,1,0.5,0.5
1326,6,1,6,1,6.0,0.16666666666666666
687,7,2,6,2,3.0,0.2857142857142857
718,5,1,5,1,5.0,0.19999999999999998
811,6,2,5,2,2.5,0.3333333333333333
265,7,3,5,2,1.6666666666666665,0.2857142857142857
172,5,2,5,2,2.5,0.39999999999999997
359,6,3,5,2,1.6666666666666665,0.3333333333333333
640,4,1,4,1,4.0,0.25
390,5,2,4,2,2.0,0.39999999999999997
187,4,2,4,2,2.0,0.5
858,3,1,3,1,3.0,0.3333333333333333
593,4,2,3,2,1.5,0.5
484,5,3,3,2,1.0,0.39999999999999997
733,3,2,3,2,1.5,0.6666666666666666
561,2,1,2,1,2.0,0.5
390,3,2,2,2,1.0,0.6666666666666666
1154,4,3,2,2,0.6666666666666666,0.5
889,5,4,2,2,0.5,0.39999999999999997
811,2,2,2,2,1.0,1.0
203,2,2,2,2,1.0,1.0
764,3,3,2,2,0.6666666666666666,0.6666666666666666
3869,1,1,1,1,1.0,1.0
234,2,2,1,1,0.5,0.5
639,3,3,2,2,0.6666666666666666,0.6666666666666666
546,5,3,3,2,1.0,0.39999999999999997
343,4,3,2,2,0.6666666666666666,0.5
1591,5,4,2,2,0.5,0.39999999999999997
140,3,3,1,1,0.3333333333333333,0.3333333333333333
172,4,4,1,1,0.25,0.25
375,1,1,1,1,1.0,1.0
1061,3,1,3,1,3.0,0.3333333333333333
1139,2,1,2,1,2.0,0.5
812,3,2,2,2,1.0,0.6666666666666666
390,4,3,2,2,0.6666666666666666,0.5
297,3,2,3,2,1.5,0.6666666666666666
2152,4,3,3,3,1.0,0.75
702,2,2,2,2,1.0,1.0
749,3,3,2,2,0.6666666666666666,0.6666666666666666
468,1,1,1,1,1.0,1.0
1857,2,2,1,1,0.5,0.5
4586,3,3,1,1,0.3333333333333333,0.3333333333333333
265,4,4,1,1,0.25,0.25
437,1,1,1,1,1.0,1.0
2543,1,1,1,1,1.0,1.0
343,2,2,1,1,0.5,0.5
344,3,3,2,2,0.6666666666666666,0.6666666666666666
2309,3,3,1,1,0.3333333333333333,0.3333333333333333
1279,4,4,1,1,0.25,0.25
2496,1,1,1,1,1.0,1.0
18564,1,1,1,1,1.0,1.0
1498,2,2,1,1,0.5,0.5
10655,1,1,1,1,1.0,1.0
437,2,2,1,1,0.5,0.5
468,3,3,2,2,0.6666666666666666,0.6666666666666666
562,3,3,1,1,0.3333333333333333,0.3333333333333333
11201,1,1,1,1,1.0,1.0
1186,2,2,1,1,0.5,0.5
561,1,1,1,1,1.0,1.0
1451,1,1,1,1,1.0,1.0
249,2,2,1,1,0.5,0.5
547,3,3,2,2,0.6666666666666666,0.6666666666666666
1201,3,3,1,1,0.3333333333333333,0.3333333333333333
312,4,4,1,1,0.25,0.25
1950,2,1,2,1,2.0,0.5
266,3,2,2,2,1.0,0.6666666666666666
14071,1,1,1,1,1.0,1.0
1794,2,2,1,1,0.5,0.5
1966,1,1,1,1,1.0,1.0
3791,1,1,1,1,1.0,1.0
13307,2,2,1,1,0.5,0.5
358,2,1,2,1,2.0,0.5
328,3,2,2,2,1.0,0.6666666666666666
266,4,3,2,2,0.6666666666666666,0.5
5413,5,4,2,2,0.5,0.39999999999999997
1373,6,5,2,2,0.39999999999999997,0.3333333333333333
1232,1,1,1,1,1.0,1.0
3573,2,2,1,1,0.5,0.5
421,3,1,3,1,3.0,0.3333333333333333
796,4,2,3,2,1.5,0.5
6286,2,1,2,1,2.0,0.5
905,4,2,3,2,1.5,0.5
639,3,2,2,2,1.0,0.6666666666666666
967,4,3,2,2,0.6666666666666666,0.5
1840,1,1,1,1,1.0,1.0
655,1,1,1,1,1.0,1.0
156,2,1,2,1,2.0,0.5
1029,2,2,2,2,1.0,1.0
530,4,3,3,3,1.0,0.75
593,3,3,2,2,0.6666666666666666,0.6666666666666666
2793,1,1,1,1,1.0,1.0
1201,1,1,1,1,1.0,1.0
2231,1,1,1,1,1.0,1.0
1545,2,2,1,1,0.5,0.5
3791,4,3,2,2,0.6666666666666666,0.5
500,5,4,2,2,0.5,0.39999999999999997
25896,5,2,5,2,2.5,0.39999999999999997
671,4,2,4,2,2.0,0.5
9469,5,3,4,3,1.3333333333333333,0.6
23649,6,4,4,3,1.0,0.5
7862,7,5,4,3,0.7999999999999999,0.42857142857142855
515,6,3,6,3,2.0,0.5
26630,5,3,5,3,1.6666666666666665,0.6
1545,4,3,4,3,1.3333333333333333,0.75
280,5,4,4,4,1.0,0.7999999999999999
11716,4,3,3,3,1.0,0.75
1279,5,4,3,3,0.75,0.6
3354,4,3,4,3,1.3333333333333333,0.75
453,5,4,4,4,1.0,0.7999999999999999
1217,6,5,4,4,0.7999999999999999,0.6666666666666666
20951,4,4,4,4,1.0,1.0
1436,3,3,3,3,1.0,1.0
483,4,4,3,3,0.75,0.75
608,3,3,3,3,1.0,1.0
2075,4,4,3,3,0.75,0.75
764,2,2,2,2,1.0,1.0
1420,3,3,2,2,0.6666666666666666,0.6666666666666666
343,4,4,2,2,0.5,0.5
1919,3,2,3,2,1.5,0.6666666666666666
3135,4,3,3,3,1.0,0.75
2387,3,3,3,3,1.0,1.0
749,4,4,3,3,0.75,0.75
1451,5,5,3,3,0.6,0.6
10686,2,2,2,2,1.0,1.0
671,3,3,2,2,0.6666666666666666,0.6666666666666666
1248,4,4,2,2,0.5,0.5
1700,5,5,2,2,0.39999999999999997,0.39999999999999997
1060,6,6,2,2,0.3333333333333333,0.3333333333333333
2683,3,2,3,2,1.5,0.6666666666666666
1389,5,3,4,3,1.3333333333333333,0.6
2449,4,3,3,3,1.0,0.75
1061,3,3,3,3,1.0,1.0
3245,2,2,2,2,1.0,1.0
32230,3,3,2,2,0.6666666666666666,0.6666666666666666
2465,3,2,3,2,1.5,0.6666666666666666
1763,2,2,2,2,1.0,1.0
515,3,3,2,2,0.6666666666666666,0.6666666666666666
655,4,4,2,2,0.5,0.5
702,5,5,2,2,0.39999999999999997,0.39999999999999997
13993,3,2,3,2,1.5,0.6666666666666666
2605,2,2,2,2,1.0,1.0
795,3,2,3,2,1.5,0.6666666666666666
1310,4,3,3,3,1.0,0.75
4415,5,4,3,3,0.75,0.6
889,4,3,4,3,1.3333333333333333,0.75
671,3,3,3,3,1.0,1.0
3666,4,4,3,3,0.75,0.75
1404,5,5,3,3,0.6,0.6
4743,2,2,2,2,1.0,1.0
483,3,3,2,2,0.6666666666666666,0.6666666666666666
624,2,2,2,2,1.0,1.0
312,3,3,2,2,0.6666666666666666,0.6666666666666666
27456,1,1,1,1,1.0,1.0
234,1,1,1,1,1.0,1.0
936,3,1,3,1,3.0,0.3333333333333333
858,3,2,3,2,1.5,0.6666666666666666
499,2,1,2,1,2.0,0.5
436,3,2,2,2,1.0,0.6666666666666666
4290,4,3,2,2,0.6666666666666666,0.5
1545,4,2,4,2,2.0,0.5
6708,5,3,4,3,1.3333333333333333,0.6
5741,4,3,4,3,1.3333333333333333,0.75
2808,5,4,4,3,1.0,0.6
3822,3,2,3,2,1.5,0.6666666666666666
686,4,3,3,3,1.0,0.75
765,5,4,3,3,0.75,0.6
1389,3,3,3,3,1.0,1.0
968,4,4,3,3,0.75,0.75
14726,2,2,2,2,1.0,1.0
967,3,3,2,2,0.6666666666666666,0.6666666666666666
640,4,2,4,2,2.0,0.5
1904,5,3,4,3,1.3333333333333333,0.6
780,3,2,3,2,1.5,0.6666666666666666
671,4,3,3,3,1.0,0.75
1014,2,2,2,2,1.0,1.0
827,3,3,2,2,0.6666666666666666,0.6666666666666666
936,4,4,2,2,0.5,0.5
671,5,5,2,2,0.39999999999999997,0.39999999999999997
1248,1,1,1,1,1.0,1.0
312,1,1,1,1,1.0,1.0
484,2,1,2,1,2.0,0.5
390,3,2,3,2,1.5,0.6666666666666666
125,4,3,4,3,1.3333333333333333,0.75
3604,6,3,5,3,1.6666666666666665,0.5
280,7,4,5,4,1.25,0.5714285714285714
265,8,5,5,4,1.0,0.5
93,6,4,5,4,1.25,0.6666666666666666
1482,5,3,4,3,1.3333333333333333,0.6
421,4,3,3,3,1.0,0.75
390,5,4,3,3,0.75,0.6
1030,6,5,3,3,0.6,0.5
546,4,3,3,3,1.0,0.75
218,3,3,2,2,0.6666666666666666,0.6666666666666666
14430,1,1,1,1,1.0,1.0
218,2,1,2,1,2.0,0.5
6162,1,1,1,1,1.0,1.0
3759,2,2,2,2,1.0,1.0
249,3,2,2,2,1.0,0.6666666666666666
203,4,3,2,2,0.6666666666666666,0.5
94,5,4,2,2,0.5,0.39999999999999997
312,2,2,1,1,0.5,0.5
437,3,3,1,1,0.3333333333333333,0.3333333333333333
202,5,4,3,2,0.75,0.39999999999999997
577,5,5,2,2,0.39999999999999997,0.39999999999999997
1217,2,2,2,2,1.0,1.0
343,3,3,2,2,0.6666666666666666,0.6666666666666666
1466,4,4,2,2,0.5,0.5
94,2,2,2,2,1.0,1.0
592,3,3,2,2,0.6666666666666666,0.6666666666666666
1607,2,2,2,2,1.0,1.0
234,3,3,2,2,0.6666666666666666,0.6666666666666666
6630,4,4,2,2,0.5,0.5
1965,5,5,2,2,0.39999999999999997,0.39999999999999997
1981,2,2,2,2,1.0,1.0
5632,1,1,1,1,1.0,1.0
468,1,1,1,1,1.0,1.0
312,2,2,1,1,0.5,0.5
249,3,3,1,1,0.3333333333333333,0.3333333333333333
234,1,1,1,1,1.0,1.0
1232,2,2,2,2,1.0,1.0
281,2,2,1,1,0.5,0.5
250,2,1,2,1,2.0,0.5
1092,3,2,2,2,1.0,0.6666666666666666
811,2,2,2,2,1.0,1.0
624,3,3,2,2,0.6666666666666666,0.6666666666666666
374,3,2,3,2,1.5,0.6666666666666666
265,4,3,3,3,1.0,0.75
343,2,2,2,2,1.0,1.0
562,3,3,2,2,0.6666666666666666,0.6666666666666666
265,2,2,2,2,1.0,1.0
2137,3,3,2,2,0.6666666666666666,0.6666666666666666
234,2,2,2,2,1.0,1.0
327,3,3,2,2,0.6666666666666666,0.6666666666666666
577,4,4,2,2,0.5,0.5
13666,1,1,1,1,1.0,1.0
1326,1,1,1,1,1.0,1.0
764,2,1,2,1,2.0,0.5
468,3,2,2,2,1.0,0.6666666666666666
4290,1,1,1,1,1.0,1.0
2636,2,2,1,1,0.5,0.5
10920,3,3,1,1,0.3333333333333333,0.3333333333333333
281,3,1,3,1,3.0,0.3333333333333333
250,4,2,3,2,1.5,0.5
905,2,1,2,1,2.0,0.5
94,3,2,2,2,1.0,0.6666666666666666
125,4,3,2,2,0.6666666666666666,0.5
187,5,4,2,2,0.5,0.39999999999999997
374,6,5,2,2,0.39999999999999997,0.3333333333333333
187,7,6,2,2,0.3333333333333333,0.2857142857142857
312,2,2,2,2,1.0,1.0
312,3,3,2,2,0.6666666666666666,0.6666666666666666
1123,4,4,2,2,0.5,0.5
16,2,2,2,2,1.0,1.0
281,3,3,2,2,0.6666666666666666,0.6666666666666666
156,2,2,2,2,1.0,1.0
514,3,3,2,2,0.6666666666666666,0.6666666666666666
5476,1,1,1,1,1.0,1.0
546,1,1,1,1,1.0,1.0
234,2,2,1,1,0.5,0.5
2777,3,3,1,1,0.3333333333333333,0.3333333333333333
499,4,1,4,1,4.0,0.25
296,3,1,3,1,3.0,0.3333333333333333
624,4,2,3,2,1.5,0.5
4976,5,3,3,2,1.0,0.39999999999999997
234,6,4,3,2,0.75,0.3333333333333333
359,7,5,3,2,0.6,0.2857142857142857
343,4,2,4,2,2.0,0.5
312,7,3,6,3,2.0,0.42857142857142855
281,6,3,5,3,1.6666666666666665,0.5
328,5,3,4,3,1.3333333333333333,0.6
998,3,2,3,2,1.5,0.6666666666666666
281,4,3,3,2,1.0,0.5
483,2,1,2,1,2.0,0.5
531,3,2,2,2,1.0,0.6666666666666666
359,4,3,2,2,0.6666666666666666,0.5
297,3,2,3,2,1.5,0.6666666666666666
515,2,2,2,2,1.0,1.0
733,3,3,2,2,0.6666666666666666,0.6666666666666666
11528,1,1,1,1,1.0,1.0
234,1,1,1,1,1.0,1.0
281,2,2,1,1,0.5,0.5
406,3,3,1,1,0.3333333333333333,0.3333333333333333
62,4,4,1,1,0.25,0.25
109,2,1,2,1,2.0,0.5
78,3,2,2,2,1.0,0.6666666666666666
4353,4,3,2,2,0.6666666666666666,0.5
2403,2,2,2,2,1.0,1.0
1778,3,3,2,2,0.6666666666666666,0.6666666666666666
1857,3,2,3,2,1.5,0.6666666666666666
7036,2,2,2,2,1.0,1.0
125,1,1,1,1,1.0,1.0
172,2,2,1,1,0.5,0.5
1123,3,3,1,1,0.3333333333333333,0.3333333333333333
343,4,4,1,1,0.25,0.25
1419,5,5,1,1,0.19999999999999998,0.19999999999999998
374,6,6,1,1,0.16666666666666666,0.16666666666666666
609,2,1,2,1,2.0,0.5
109,3,2,2,2,1.0,0.6666666666666666
187,4,3,2,2,0.6666666666666666,0.5
218,5,4,2,2,0.5,0.39999999999999997
249,2,2,2,2,1.0,1.0
281,3,3,2,2,0.6666666666666666,0.6666666666666666
249,4,4,2,2,0.5,0.5
405,3,2,3,2,1.5,0.6666666666666666
577,4,3,3,3,1.0,0.75
47,2,2,2,2,1.0,1.0
281,3,3,2,2,0.6666666666666666,0.6666666666666666
62,2,2,2,2,1.0,1.0
2745,3,3,2,2,0.6666666666666666,0.6666666666666666
12261,1,1,1,1,1.0,1.0
265,1,1,1,1,1.0,1.0
655,2,2,2,2,1.0,1.0
297,3,3,3,3,1.0,1.0
921,3,3,2,2,0.6666666666666666,0.6666666666666666
374,4,4,2,2,0.5,0.5
1108,3,2,2,2,1.0,0.6666666666666666
31,4,3,2,2,0.6666666666666666,0.5
140,5,4,2,2,0.5,0.39999999999999997
234,3,3,2,2,0.6666666666666666,0.6666666666666666
749,4,4,2,2,0.5,0.5
1014,5,5,2,2,0.39999999999999997,0.39999999999999997
359,2,2,1,1,0.5,0.5
312,3,3,2,2,0.6666666666666666,0.6666666666666666
1997,4,4,2,2,0.5,0.5
141,4,3,2,2,0.6666666666666666,0.5
608,5,4,2,2,0.5,0.39999999999999997
2979,4,4,2,2,0.5,0.5
1809,5,5,2,2,0.39999999999999997,0.39999999999999997
514,3,3,1,1,0.3333333333333333,0.3333333333333333
234,4,4,1,1,0.25,0.25
297,5,5,1,1,0.19999999999999998,0.19999999999999998
249,2,1,2,1,2.0,0.5
11279,3,2,2,2,1.0,0.6666666666666666
2730,1,1,1,1,1.0,1.0
